cust_id,first_name,last_name,phone,address,city,state
1,Francoise,Rautenstrauch,519-569-8399,2335 Canton Hwy #6,Windsor,ON
2,Kendra,Loud,506-363-1526,6 Arch St #9757,Alcida,NB
3,Lourdes,Bauswell,613-903-7043,9547 Belmont Rd #21,Belleville,ON
4,Hannah,Edmison,604-334-3686,73 Pittsford Victor Rd,Vancouver,BC
5,Tom,Loeza,514-487-6096,447 Commercial St Se,LIle-Perrot,QC
6,Queenie,Kramarczyk,306-421-5793,47 Garfield Ave,Swift Current,SK
7,Hui,Portaro,506-827-7755,3 Mill Rd,Baker Brook,NB
8,Josefa,Opitz,519-788-7645,136 W Grand Ave #3,Delhi,ON
9,Lea,Steinhaus,905-618-8258,80 Maplewood Dr #34,Bradford,ON
10,Paola,Vielma,905-456-1117,58 Hancock St,Aurora,ON
11,Hortencia,Bresser,902-256-6791,808 Calle De Industrias,New Waterford,NS
12,Leanna,Tijerina,416-719-2114,2859 Dorsett Rd,North York,ON
13,Danilo,Pride,403-212-4945,6857 Wall St,Red Deer,AB
14,Huey,Marcille,780-639-3619,169 Journal Sq,Edmonton,AB
15,Apolonia,Warne,506-978-1488,3 E 31st St #77,Fredericton,NB
16,Chandra,Lagos,416-716-6446,7 N Dean St,Etobicoke,ON
17,Crissy,Pacholec,705-477-2307,85 S State St,Barrie,ON
18,Gianna,Branin,403-337-7162,100 Main St,Calgary,AB
19,Valentin,Billa,306-291-5073,6185 Bohn St #72,Pangman,SK
20,Ilona,Dudash,819-536-7034,2 Sutton Pl S #5727,Rouyn-Noranda,QC
21,Willard,Lablanc,780-384-5410,1534 Sidco Dr,Leduc,AB
22,Lauryn,Randol,604-236-4625,4207 Leon Rd,North Vancouver,BC
23,Laurena,Begin,519-790-8660,7564 N Academy Ave,London,ON
24,Elise,Michelle,905-652-4509,88 E Saint Elmo Rd,Hamilton,ON
25,Corrie,Kardell,514-203-7817,75 Westchester Ave,Pierrefonds,QC
26,Kimberely,Rabuse,519-912-5533,89 W 35th St #1,Windsor,ON
27,Tish,Violett,450-840-7605,1 Norris Ave #4095,Laval,QC
28,Hollis,Stanfield,780-574-5620,5174 Interstate 45 N,Yellowhead County,AB
29,Andree,Christmann,519-872-6826,765 Rock Island Rd,Strathroy,ON
